상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220812492013,롯데리아강릉,터미널점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51150,강릉시,51150510,홍제동,5115010100,홍제동,5115010100109920002,1,대지,992.0,2.0,강원특별자치도 강릉시 홍제동 992-2,511503220048,강원특별자치도 강릉시 하슬라로,15.0,,4215010100109920002015640,,강원특별자치도 강릉시 하슬라로 15,210949.0,25519,,,,128.879793777996,37.7546423531107
MA010120220804648751,롯데리아휘닉스파크점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51760,평창군,51760340,봉평면,5176034025,봉평면,5176034025110980000,1,대지,1098.0,,강원특별자치도 평창군 봉평면 면온리 1098,517603228037,강원특별자치도 평창군 봉평면 태기로,174.0,,4276034024200800001004305,외,강원특별자치도 평창군 봉평면 태기로 174,232922.0,25307,,,,128.326874156543,37.5824602779446
MA010120220806376461,롯데리아,양양점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51830,양양군,51830250,양양읍,5183025025,양양읍,5183025025101830006,1,대지,183.0,6.0,강원특별자치도 양양군 양양읍 연창리 183-6,518303235016,강원특별자치도 양양군 양양읍 양양로,15.0,1.0,4283025025101830006000001,,강원특별자치도 양양군 양양읍 양양로 15-1,215803.0,25031,,1,,128.626444567327,38.0779083636879
MA010120220804719046,롯데리아강릉,포남점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51150,강릉시,51150572,포남2동,5115011100,포남동,5115011100112910005,1,대지,1291.0,5.0,강원특별자치도 강릉시 포남동 1291-5,511504460997,강원특별자치도 강릉시 하평2길,11.0,,4215011100112910005007390,,강원특별자치도 강릉시 하평2길 11,210953.0,25566,,,,128.912254913677,37.7713890465273
MA010120220806466060,롯데리아원주점,롯데마트,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51130,원주시,51130590,단계동,5113011000,단계동,5113011000111230000,1,대지,1123.0,,강원특별자치도 원주시 단계동 1123,511303219026,강원특별자치도 원주시 봉화로,1.0,,4213011000111230000000001,롯데마트,강원특별자치도 원주시 봉화로 1,220100.0,26437,,1,,127.927634889204,37.3456756060548
MA010120220804731546,롯데리아화천사내점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51790,화천군,51790340,사내면,5179034021,사내면,5179034021104570048,1,대지,457.0,48.0,강원특별자치도 화천군 사내면 사창리 457-48,517903231009,강원특별자치도 화천군 사내면 사내로,33.0,,4279034021104570048000002,,강원특별자치도 화천군 사내면 사내로 33,209834.0,24155,,,,127.521242356823,38.070963153849
MA010120220811199405,롯데리아강릉,주문진점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51150,강릉시,51150250,주문진읍,5115025021,주문진읍,5115025021103230006,1,대지,323.0,6.0,강원특별자치도 강릉시 주문진읍 주문리 323-6,511503220039,강원특별자치도 강릉시 주문진읍 주문로,78.0,,4215025021103230006032613,,강원특별자치도 강릉시 주문진읍 주문로 78,210806.0,25413,,,,128.826154086266,37.8907564142758
MA010120220806387754,롯데리아비발디점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51720,홍천군,51720370,서면,5172037023,서면,5172037023112900002,1,대지,1290.0,2.0,강원특별자치도 홍천군 서면 팔봉리 1290-2,517204475627,강원특별자치도 홍천군 서면 한치골길,262.0,,4272037023112760002000001,오크동,강원특별자치도 홍천군 서면 한치골길 262,250856.0,25102,,1,,127.687339671574,37.6523367654114
MA010120220804602442,롯데리아원주하나로점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51130,원주시,51130590,단계동,5113011000,단계동,5113011000108030002,1,대지,803.0,2.0,강원특별자치도 원주시 단계동 803-2,511303219022,강원특별자치도 원주시 무실로,182.0,,4213011000108030001023119,원주원예농협하나로클럽,강원특별자치도 원주시 무실로 182,220937.0,26434,,,,127.93927399303,37.3414571915807
MA010120220802996708,롯데리아고성간성점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,51,강원특별자치도,51820,고성군,51820250,간성읍,5182025021,간성읍,5182025021100330003,1,대지,33.0,3.0,강원특별자치도 고성군 간성읍 하리 33-3,518203234001,강원특별자치도 고성군 간성읍 간성로,59.0,1.0,4282025021100330003001414,,강원특별자치도 고성군 간성읍 간성로 59-1,219801.0,24736,,,,128.468258096013,38.3792543373206
