시도시군구명,KFC,롯데리아,맥도날드,버거킹,합계,버거지수
강원특별자치도 강릉시,0,7,2,1,10,0.43
강원특별자치도 고성군,0,1,0,0,1,0.0
강원특별자치도 동해시,0,2,1,0,3,0.5
강원특별자치도 삼척시,0,1,0,0,1,0.0
강원특별자치도 속초시,1,3,2,0,6,1.0
강원특별자치도 양구군,0,1,0,0,1,0.0
강원특별자치도 양양군,0,1,0,0,1,0.0
강원특별자치도 영월군,0,1,0,0,1,0.0
강원특별자치도 원주시,1,10,0,3,14,0.4
강원특별자치도 인제군,0,2,0,0,2,0.0
강원특별자치도 정선군,0,1,0,0,1,0.0
강원특별자치도 철원군,0,2,0,0,2,0.0
강원특별자치도 춘천시,1,4,2,3,10,1.5
강원특별자치도 태백시,0,1,0,0,1,0.0
강원특별자치도 평창군,0,3,0,0,3,0.0
강원특별자치도 홍천군,0,2,0,1,3,0.5
강원특별자치도 화천군,0,2,0,0,2,0.0
강원특별자치도 횡성군,0,1,0,0,1,0.0
경기도 가평군,0,4,0,0,4,0.0
경기도 고양시 덕양구,2,10,8,8,28,1.8
경기도 고양시 일산동구,2,5,4,5,16,2.2
경기도 고양시 일산서구,3,7,4,3,17,1.43
경기도 과천시,0,0,2,0,2,0.0
경기도 광명시,2,6,6,2,16,1.67
경기도 광주시,1,9,1,2,13,0.44
경기도 구리시,1,4,1,3,9,1.25
경기도 군포시,2,4,1,2,9,1.25
경기도 김포시,3,9,5,5,22,1.44
경기도 남양주시,5,16,5,6,32,1.0
경기도 동두천시,0,2,3,0,5,1.5
경기도 부천시 소사구,2,3,3,3,11,2.67
경기도 부천시 오정구,0,3,1,1,5,0.67
경기도 부천시 원미구,4,7,5,4,20,1.86
경기도 성남시 분당구,4,3,6,4,17,4.67
경기도 성남시 수정구,2,4,1,3,10,1.5
경기도 성남시 중원구,1,4,0,0,5,0.25
경기도 수원시 권선구,1,9,4,4,18,1.0
경기도 수원시 영통구,2,4,5,4,15,2.75
경기도 수원시 장안구,0,7,4,3,14,1.0
경기도 수원시 팔달구,3,4,3,3,13,2.25
경기도 시흥시,5,15,5,7,32,1.13
경기도 안산시 단원구,3,5,1,3,12,1.4
경기도 안산시 상록구,1,9,0,2,12,0.33
경기도 안성시,1,3,1,2,7,1.33
경기도 안양시 동안구,3,8,2,5,18,1.25
경기도 안양시 만안구,1,8,2,0,11,0.38
경기도 양주시,2,6,3,3,14,1.33
경기도 양평군,0,2,0,0,2,0.0
경기도 여주시,0,5,1,0,6,0.2
경기도 연천군,0,1,0,0,1,0.0
경기도 오산시,1,5,3,2,11,1.2
경기도 용인시 기흥구,1,7,5,3,16,1.29
경기도 용인시 수지구,3,5,2,2,12,1.4
경기도 용인시 처인구,2,12,2,0,16,0.33
경기도 의왕시,0,4,1,0,5,0.25
경기도 의정부시,3,12,9,5,29,1.42
경기도 이천시,1,4,3,1,9,1.25
경기도 파주시,5,16,2,8,31,0.94
경기도 평택시,1,17,8,10,36,1.12
경기도 포천시,1,4,1,1,7,0.75
경기도 하남시,2,5,1,4,12,1.4
경기도 화성시 동탄구,2,9,2,4,17,0.89
